file,check,severity,detail
../../data/raw/train/boderquandoi3_jpg.rf.a982b31ffac89d039d634a1542eb5715.jpg,box_tiny,WARN,rel_area=2.68e-04 (18x9px)
../../data/raw/train/CarLongPlateGen2902_jpg.rf.50b2ae598dd48c9654b2068c9140535d.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2963_jpg.rf.c17940aebae31698d70c34d08bac9528.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi3_jpg.rf.198d925881ab406a18bdf7b04b3c5d97.jpg,box_tiny,WARN,rel_area=2.59e-04 (17x9px)
../../data/raw/train/boderquandoi3_jpg.rf.198d925881ab406a18bdf7b04b3c5d97.jpg,box_tiny,WARN,rel_area=2.44e-04 (18x8px)
../../data/raw/train/boderquandoi4_jpg.rf.8f1c0b04d9adcc765be30d2e590207d3.jpg,box_tiny,WARN,rel_area=4.18e-04 (18x13px)
../../data/raw/train/CarLongPlateGen2655_jpg.rf.c474a82d343c1a11a6663aedbd0dd666.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2606_jpg.rf.02eb7fe80837b75b36e83ca7c1f2ee2e.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2977_jpg.rf.b7a7bb62e7f5038f0ef8be56c377b3cb.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi4_jpg.rf.9b5cc281c6a7828944a91576f2fe4289.jpg,box_tiny,WARN,rel_area=4.32e-04 (19x14px)
../../data/raw/train/CarLongPlateGen2677_jpg.rf.c26a35ee38f82edc25a9b7da4fd6b4d3.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2928_jpg.rf.8541e713f3e78699b3367c76de19a88a.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2616_jpg.rf.c9ce6bb9632c6e1523e67af6b4e21d42.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2677_jpg.rf.45b5394ab367d52ac7a686cad05c90e6.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi3_jpg.rf.e61009fba32da6285b504f404b4ae5c0.jpg,box_tiny,WARN,rel_area=3.04e-04 (18x11px)
../../data/raw/train/boderquandoi3_jpg.rf.e61009fba32da6285b504f404b4ae5c0.jpg,box_tiny,WARN,rel_area=2.92e-04 (19x10px)
../../data/raw/train/boderquandoi4_jpg.rf.dfc06f5e3c1f60b04222b051f6d971ae.jpg,box_tiny,WARN,rel_area=3.86e-04 (18x14px)
../../data/raw/train/boderquandoi3_jpg.rf.0bc7e5f529a95a24bcf79307601b70ef.jpg,box_tiny,WARN,rel_area=3.08e-04 (18x11px)
../../data/raw/train/boderquandoi3_jpg.rf.0bc7e5f529a95a24bcf79307601b70ef.jpg,box_tiny,WARN,rel_area=2.95e-04 (19x10px)
../../data/raw/train/CarLongPlateGen2963_jpg.rf.63eeb6782d287cb6963a3f44b1da1eb9.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/boderquandoi3_jpg.rf.94f7b67ec199aac0a2a1485e6256fc20.jpg,box_tiny,WARN,rel_area=3.24e-04 (18x11px)
../../data/raw/train/boderquandoi3_jpg.rf.94f7b67ec199aac0a2a1485e6256fc20.jpg,box_tiny,WARN,rel_area=3.12e-04 (19x10px)
../../data/raw/train/CarLongPlateGen2632_jpg.rf.e9d3b6e73c4bb433d9c0d9fdfa7d941a.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2668_jpg.rf.4faed21956d30a9a3918bb7afd8e84bc.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen2667_jpg.rf.86ee74a938d2f32883af96e620a82ee5.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/CarLongPlateGen3028_jpg.rf.1ea7bb6fb5a277e04de2282f3663092c.jpg,box_out_of_bounds,WARN,box exceeds image bounds
../../data/raw/train/24-GRO-HAP-Mar-tenue_jpg.rf.3b671e313fe583f7c034af8cd21a656e.jpg,box_suspiciously_large,WARN,rel_area=0.99
../../data/raw/train/1649292507304_jpg.rf.ce8086ea0cc94f8a50b7cb3fcf22d029.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/14-cdmx2016aa_jpg.rf.7e229ea4819a2cd2f16ad55f116a7bce.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/13-cdmx2017pol-mc_jpg.rf.c0723b2f3341505d06980bb946765a76.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/1649292507300_jpg.rf.5abe3751bb0c58ddebf12b08b32228da.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/15-cdmx2017eco_jpg.rf.0c175a2643113594dde89c403ed2f680.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/1649292507310_jpg.rf.41cfdb27ef2e1ee53827164b13d02a84.jpg,box_suspiciously_large,WARN,rel_area=0.94
../../data/raw/train/22-placa-guerrero-06_jpg.rf.59e4014d790fcaaff904e91f88e2906c.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/23-cdmx2017trk_jpg.rf.90e7093f43793a0f289fbc87e24762ce.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/1649292507311_jpg.rf.d5e17f8838417451c948ec715a1b18ad.jpg,box_suspiciously_large,WARN,rel_area=1.00
../../data/raw/train/14-GRO-HEZ_jpg.rf.4f410e1fe25b12a15baf1dd9ec02ef91.jpg,box_suspiciously_large,WARN,rel_area=1.00
